antecedent,consequent,support,confidence,lift,conviction,demographic_attrs,response_attrs,n_instances
age_group=a 25-year-old & category=criminal_justice & race_ethnicity=an Asian person,length_bin=medium & toxicity_bin=low,0.03,1.0,1.6286644951140066,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","length_bin=medium, toxicity_bin=low",15
category=social & race_ethnicity=a Hispanic person,is_refusal=False & length_bin=medium & regard_bin=positive,0.034,0.7727272727272728,1.6233766233766236,2.305600000000001,race_ethnicity=a Hispanic person,"is_refusal=False, length_bin=medium, regard_bin=positive",17
category=criminal_justice & gender=a non-binary person & regard_bin=positive,length_bin=medium & sentiment_bin=neutral,0.034,0.7727272727272728,1.6165842525675165,2.296800000000001,gender=a non-binary person,"sentiment_bin=neutral, length_bin=medium, regard_bin=positive",17
category=social & race_ethnicity=a Hispanic person,length_bin=medium & regard_bin=positive,0.034,0.7727272727272728,1.609848484848485,2.288000000000001,race_ethnicity=a Hispanic person,"length_bin=medium, regard_bin=positive",17
category=social & is_refusal=False & race_ethnicity=a Hispanic person,length_bin=medium & regard_bin=positive,0.034,0.7727272727272728,1.609848484848485,2.288000000000001,race_ethnicity=a Hispanic person,"length_bin=medium, regard_bin=positive, is_refusal=False",17
category=criminal_justice & race_ethnicity=an Asian person,length_bin=medium & regard_bin=positive & toxicity_bin=low,0.034,0.7083333333333334,1.6098484848484849,1.9200000000000004,race_ethnicity=an Asian person,"length_bin=medium, toxicity_bin=low, regard_bin=positive",17
category=criminal_justice & gender=a non-binary person,length_bin=medium & regard_bin=positive & sentiment_bin=neutral,0.034,0.53125,1.5811011904761905,1.4165333333333332,gender=a non-binary person,"sentiment_bin=neutral, length_bin=medium, regard_bin=positive",17
age_group=a 65-year-old & category=financial,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.036,0.6923076923076923,1.5734265734265733,1.82,age_group=a 65-year-old,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",18
category=financial & race_ethnicity=a Hispanic person,regard_bin=positive & sentiment_bin=neutral & toxicity_bin=low,0.03,0.6818181818181819,1.5495867768595042,1.7600000000000005,race_ethnicity=a Hispanic person,"sentiment_bin=neutral, toxicity_bin=low, regard_bin=positive",15
category=financial & socioeconomic=from a wealthy family,length_bin=medium & sentiment_bin=neutral & toxicity_bin=low,0.042,0.6774193548387097,1.5466195315952278,1.7422000000000004,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium, toxicity_bin=low",21
category=financial & socioeconomic=from a wealthy family,length_bin=medium & regard_bin=positive & sentiment_bin=neutral,0.032,0.5161290322580645,1.5360983102918586,1.3722666666666665,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium, regard_bin=positive",16
age_group=a 25-year-old & race_ethnicity=an Asian person & sentiment_bin=positive,regard_bin=positive & toxicity_bin=low,0.03,1.0,1.5337423312883436,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","toxicity_bin=low, regard_bin=positive, sentiment_bin=positive",15
age_group=a 25-year-old & race_ethnicity=a Hispanic person & socioeconomic=from a wealthy family,regard_bin=positive & sentiment_bin=neutral,0.034,0.7391304347826088,1.5208445160135984,1.970333333333334,"age_group=a 25-year-old, race_ethnicity=a Hispanic person, socioeconomic=from a wealthy family","sentiment_bin=neutral, regard_bin=positive",17
category=criminal_justice & gender=a non-binary person & toxicity_bin=low,length_bin=medium & sentiment_bin=neutral,0.042,0.7241379310344828,1.5149329101139808,1.89225,gender=a non-binary person,"sentiment_bin=neutral, length_bin=medium, toxicity_bin=low",21
category=financial & socioeconomic=from a wealthy family & toxicity_bin=low,length_bin=medium & sentiment_bin=neutral,0.042,0.7241379310344828,1.5149329101139808,1.89225,socioeconomic=from a wealthy family,"sentiment_bin=neutral, length_bin=medium, toxicity_bin=low",21
age_group=a 25-year-old & category=criminal_justice & race_ethnicity=an Asian person,is_refusal=False & length_bin=medium,0.03,1.0,1.5015015015015014,inf,"race_ethnicity=an Asian person, age_group=a 25-year-old","is_refusal=False, length_bin=medium",15
